,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
112,AAOI,2017-05-03,45.99,46.92,45.01,46.47,2099826.0,0.0,1.0,45.99,46.92,45.01,46.47,2099826.0
113,AAOI,2017-05-04,47.3,48.75,46.34,46.81,2632545.0,0.0,1.0,47.3,48.75,46.34,46.81,2632545.0
114,AAOI,2017-05-05,51.53,56.3,48.5,55.96,10842043.0,0.0,1.0,51.53,56.3,48.5,55.96,10842043.0
115,AAOI,2017-05-08,57.15,60.0,56.55,57.39,5299027.0,0.0,1.0,57.15,60.0,56.55,57.39,5299027.0
116,AAOI,2017-05-09,57.75,62.64,56.01,62.11,5025691.0,0.0,1.0,57.75,62.64,56.01,62.11,5025691.0
117,AAOI,2017-05-10,61.81,65.0,61.36,64.97,3918445.0,0.0,1.0,61.81,65.0,61.36,64.97,3918445.0
118,AAOI,2017-05-11,64.05,65.33,62.08,64.23,3518926.0,0.0,1.0,64.05,65.33,62.08,64.23,3518926.0
119,AAOI,2017-05-12,64.24,67.01,63.2152,65.45,3001893.0,0.0,1.0,64.24,67.01,63.2152,65.45,3001893.0
120,AAOI,2017-05-15,65.8,66.4,63.25,64.01,3087272.0,0.0,1.0,65.8,66.4,63.25,64.01,3087272.0
121,AAOI,2017-05-16,64.11,65.24,62.53,64.97,2495066.0,0.0,1.0,64.11,65.24,62.53,64.97,2495066.0
122,AAOI,2017-05-17,63.04,64.0,60.1,61.38,3471294.0,0.0,1.0,63.04,64.0,60.1,61.38,3471294.0
123,AAOI,2017-05-18,60.06,65.3,58.96,63.98,3921392.0,0.0,1.0,60.06,65.3,58.96,63.98,3921392.0
124,AAOI,2017-05-19,64.74,65.93,63.5,63.54,2249458.0,0.0,1.0,64.74,65.93,63.5,63.54,2249458.0
125,AAOI,2017-05-22,66.0,71.34,65.8,71.24,6745276.0,0.0,1.0,66.0,71.34,65.8,71.24,6745276.0
126,AAOI,2017-05-23,71.6,71.7,67.06,69.15,3744252.0,0.0,1.0,71.6,71.7,67.06,69.15,3744252.0
127,AAOI,2017-05-24,68.25,70.2299,67.86,68.63,2003700.0,0.0,1.0,68.25,70.2299,67.86,68.63,2003700.0
128,AAOI,2017-05-25,68.8,69.89,66.3,67.88,2552929.0,0.0,1.0,68.8,69.89,66.3,67.88,2552929.0
129,AAOI,2017-05-26,67.37,72.95,67.116,71.51,3877279.0,0.0,1.0,67.37,72.95,67.116,71.51,3877279.0
130,AAOI,2017-05-30,71.2,71.81,69.11,70.48,2276558.0,0.0,1.0,71.2,71.81,69.11,70.48,2276558.0
131,AAOI,2017-05-31,71.07,71.65,68.72,69.82,2390957.0,0.0,1.0,71.07,71.65,68.72,69.82,2390957.0
132,AAON,2017-05-01,36.7,37.45,36.5,37.45,132351.0,0.0,1.0,36.5683135523,37.3156224124,36.3690311896,37.3156224124,132351.0
133,AAON,2017-05-02,37.45,37.7,37.15,37.5,121690.0,0.0,1.0,37.3156224124,37.5647253657,37.0166988683,37.365443003,121690.0
134,AAON,2017-05-03,37.3,37.4,36.9,37.2,91843.0,0.0,1.0,37.1661606404,37.2658018217,36.767595915,37.066519459,91843.0
135,AAON,2017-05-04,37.25,37.7,36.8,37.25,118261.0,0.0,1.0,37.1163400497,37.5647253657,36.6679547336,37.1163400497,118261.0
136,AAON,2017-05-05,37.5,37.55,36.1,36.25,186348.0,0.0,1.0,37.365443003,37.4152635937,35.9704664643,36.1199282363,186348.0
137,AAON,2017-05-08,36.2,36.95,36.05,36.9,130265.0,0.0,1.0,36.0701076456,36.8174165057,35.9206458736,36.767595915,130265.0
138,AAON,2017-05-09,36.95,37.2,36.5,37.0,150088.0,0.0,1.0,36.8174165057,37.066519459,36.3690311896,36.8672370963,150088.0
139,AAON,2017-05-10,36.9,37.1,36.45,36.55,90458.0,0.0,1.0,36.767595915,36.9668782777,36.319210599,36.4188517803,90458.0
140,AAON,2017-05-11,36.45,36.95,36.1,36.75,74463.0,0.0,1.0,36.319210599,36.8174165057,35.9704664643,36.618134143,74463.0
141,AAON,2017-05-12,36.6,36.8,36.3,36.3,90962.0,0.0,1.0,36.468672371,36.6679547336,36.1697488269,36.1697488269,90962.0
142,AAON,2017-05-15,36.3,36.85,36.3,36.6,85039.0,0.0,1.0,36.1697488269,36.7177753243,36.1697488269,36.468672371,85039.0
